id;nome;telefone;email;enviar_laudo
1;payment;killer e-commerce feed;Elo97@live.com;true
2;Paraná Brinquedos;panel communities;Marina22@hotmail.com;false
3;Centralized COM;Peixe;Salvador_Barros61@live.com;false
4;Japão;Leoa;Cau.Macedo93@bol.com.br;false
5;Loan;Cambridgeshire fúchsia;Benjamin.Melo@bol.com.br;true
6;Identity Metal calculating;static capacitor;Marina_Carvalho@yahoo.com;true
7;ouro;optimizing Fresco Account;Clia98@yahoo.com;true
8;disintermediate Música CSS;Loan;Nicolas.Oliveira67@hotmail.com;true
9;Direct bypassing;Leu overriding;Carlos_Souza70@gmail.com;true
10;Janeiro Alameda;Inteligente Inteligente Fresco;Sarah.Xavier66@hotmail.com;true
